zip,city,county,region,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
92808,Anaheim,Orange,Southern CA,710,679,4.6,up,80.5,up
95746,Granite Bay,Placer,Northern CA,706,709,-0.4,flat,46.0,up
91706,Baldwin Park,Los Angeles,Southern CA,701,693,1.2,up,29.7,up
93907,Salinas,Monterey,Northern CA,701,695,0.9,up,28.7,up
92333,Fawnskin,San Bernardino,Southern CA,699,692,1.0,up,4.9,up
91107,Pasadena,Los Angeles,Southern CA,693,681,1.8,up,47.3,up
95476,Sonoma,Sonoma,Northern CA,693,704,-1.6,down,49.9,up
93012,Camarillo,Ventura,Southern CA,692,664,4.2,up,85.4,up
95672,Rescue,El Dorado,Northern CA,692,693,-0.1,flat,18.7,up
92341,Green Valley Lake,San Bernardino,SB Mountains,689,683,0.9,up,4.0,up
92504,Riverside,Riverside,Southern CA,688,672,2.4,up,92.0,up
93536,Lancaster,Los Angeles,Southern CA,686,646,6.2,up,98.9,up
95030,Los Gatos,Santa Clara,Northern CA,686,680,0.9,up,49.5,up
91770,Rosemead,Los Angeles,Southern CA,683,680,0.4,flat,78.8,up
90016,Los Angeles,Los Angeles,Southern CA,681,690,-1.3,down,23.7,up
92025,Escondido,San Diego,Southern CA,679,655,3.7,up,76.6,up
90601,Whittier,Los Angeles,Southern CA,673,633,6.3,up,59.7,up
94556,Moraga,Contra Costa,Northern CA,672,632,6.3,up,104.9,up
90222,Compton,Los Angeles,Southern CA,668,662,0.9,up,23.8,up
90805,Long Beach,Los Angeles,Southern CA,665,662,0.5,flat,34.9,up
95222,Angels Camp,Calaveras,Northern CA,660,656,0.6,up,16.5,up
94526,Danville,Contra Costa,Northern CA,659,680,-3.1,down,118.6,up
94605,Oakland,Alameda,Northern CA,657,630,4.3,up,68.2,up
90006,Los Angeles,Los Angeles,Southern CA,655,632,3.6,up,28.4,up
92307,Apple Valley,San Bernardino,Southern CA,655,627,4.5,up,92.5,up
92335,Fontana,San Bernardino,Southern CA,655,656,-0.2,flat,52.7,up
92583,San Jacinto,Riverside,Southern CA,654,651,0.5,flat,78.7,up
93643,North Fork,Madera,Northern CA,650,669,-2.8,down,13.0,up
96141,Homewood,Placer,Northern CA,647,648,-0.2,flat,27.7,up
91977,Spring Valley,San Diego,Southern CA,646,642,0.6,up,92.6,up
90631,La Habra,Orange,Southern CA,644,657,-2.0,down,46.5,up
95037,Morgan Hill,Santa Clara,Northern CA,643,621,3.5,up,50.9,up
96130,Susanville,Lassen,Northern CA,640,635,0.8,up,38.7,up
96143,Kings Beach,Placer,Northern CA,640,641,-0.2,flat,10.6,up
92376,Rialto,San Bernardino,Southern CA,637,624,2.1,up,65.3,up
95658,Newcastle,Placer,Northern CA,637,636,0.2,flat,37.7,up
93271,Three Rivers,Tulare,Northern CA,634,635,-0.2,flat,10.1,up
92586,Sun City,Riverside,Southern CA,633,624,1.4,up,140.2,up
95619,Diamond Springs,El Dorado,Northern CA,633,622,1.8,up,20.2,up
92410,San Bernardino,San Bernardino,Southern CA,631,631,0.0,flat,49.7,up
92024,Encinitas,San Diego,Southern CA,630,633,-0.5,flat,83.6,up
92553,Moreno Valley,Riverside,Southern CA,626,637,-1.7,down,65.0,up
95642,Jackson,Amador,Northern CA,626,641,-2.3,down,18.1,up
91335,Reseda,Los Angeles,Southern CA,624,615,1.5,up,33.3,up
95448,Healdsburg,Sonoma,Northern CA,624,623,0.2,flat,13.3,up
92656,Aliso Viejo,Orange,Southern CA,620,580,6.9,up,133.6,up
95965,Oroville,Butte,Northern CA,619,639,-3.1,down,23.3,up
96122,Portola,Plumas,Northern CA,619,605,2.3,up,16.0,up
92676,Silverado,Orange,Southern CA,614,611,0.5,flat,7.4,up
92567,Nuevo,Riverside,Southern CA,612,577,6.1,up,71.3,up
92657,Newport Coast,Orange,Southern CA,610,578,5.5,up,93.9,up
95685,Sutter Creek,Amador,Northern CA,606,611,-0.8,down,12.5,up
95971,Quincy,Plumas,Northern CA,606,600,1.0,up,10.4,up
93604,Bass Lake,Madera,Northern CA,601,585,2.7,up,17.3,up
91504,Burbank,Los Angeles,Southern CA,600,582,3.1,up,83.2,up
93103,Santa Barbara,Santa Barbara,Southern CA,599,579,3.5,up,46.1,up
92807,Anaheim,Orange,Southern CA,598,573,4.4,up,65.6,up
94553,Martinez,Contra Costa,Northern CA,596,589,1.2,up,86.0,up
92124,San Diego,San Diego,Southern CA,595,569,4.6,up,81.5,up
92119,San Diego,San Diego,Southern CA,592,572,3.5,up,89.5,up
92337,Fontana,San Bernardino,Southern CA,592,549,7.8,up,84.1,up
96103,Blairsden Graeagle,Plumas,Northern CA,592,593,-0.2,flat,7.4,up
93532,Lake Hughes,Los Angeles,Southern CA,584,588,-0.7,down,12.7,up
92372,Pinon Hills,San Bernardino,Southern CA,579,555,4.3,up,28.9,up
90650,Norwalk,Los Angeles,Southern CA,575,576,-0.2,flat,26.1,up
95503,Eureka,Humboldt,Northern CA,572,507,12.8,up,97.9,up
94574,Saint Helena,Napa,Northern CA,571,591,-3.4,down,18.6,up
93060,Santa Paula,Ventura,Southern CA,570,577,-1.2,down,40.2,up
92354,Loma Linda,San Bernardino,Southern CA,568,541,5.0,up,101.8,up
94515,Calistoga,Napa,Northern CA,568,565,0.5,up,31.6,up
93602,Auberry,Fresno,Northern CA,567,587,-3.4,down,10.8,up
93619,Clovis,Fresno,Northern CA,565,549,2.9,up,61.1,up
92536,Aguanga,Riverside,Southern CA,564,580,-2.8,down,15.4,up
90660,Pico Rivera,Los Angeles,Southern CA,561,549,2.2,up,31.3,up
95065,Santa Cruz,Santa Cruz,Northern CA,558,541,3.1,up,76.7,up
92548,Homeland,Riverside,Southern CA,552,536,3.0,up,48.5,up
91024,Sierra Madre,Los Angeles,Southern CA,549,541,1.5,up,23.9,up
93307,Bakersfield,Kern,Southern CA,548,547,0.2,flat,43.8,up
91367,Woodland Hills,Los Angeles,Southern CA,547,537,1.9,up,70.0,up
91739,Rancho Cucamonga,San Bernardino,SB Mountains,547,518,5.6,up,71.0,up
92154,San Diego,San Diego,Southern CA,544,526,3.4,up,141.3,up
92610,Foothill Ranch,Orange,Southern CA,544,477,14.0,up,79.4,up
