city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Cedarville,Modoc,1,96104,31,25,24.0,up,66.7,up
Cotati,Sonoma,1,94931,31,29,6.9,up,93.3,up
Edwards,Kern,1,93523,31,28,10.7,up,100.0,up
Lindsay,Tulare,1,93247,31,23,34.8,up,91.7,up
Mount Hamilton,Santa Clara,1,95140,31,32,-3.1,down,18.5,up
Orangevale,Sacramento,1,95662,31,28,10.7,up,33.3,up
Wilton,Sacramento,1,95693,31,27,14.8,up,12.5,up
Coronado,San Diego,1,92118,30,30,0.0,flat,76.5,up
Doyle,Lassen,1,96109,30,26,15.4,up,13.0,up
Newark,Alameda,1,94560,30,26,15.4,up,85.7,up
North Highlands,Sacramento,1,95660,30,27,11.1,up,68.8,up
Oro Grande,San Bernardino,1,92368,30,25,20.0,up,92.3,up
Stanford,Santa Clara,1,94305,30,23,30.4,up,228.6,up
Stonyford,Colusa,1,95979,30,28,7.1,up,-3.4,down
Floriston,Nevada,1,96111,29,32,-9.4,down,28.0,up
Los Alamitos,Orange,1,90720,29,24,20.8,up,50.0,up
Niland,Imperial,1,92257,29,32,-9.4,down,128.6,up
Big Oak Flat,Tuolumne,1,95305,28,26,7.7,up,0.0,flat
Elk,Mendocino,1,95432,28,29,-3.4,down,26.1,up
Galt,Sacramento,1,95632,28,26,7.7,up,73.3,up
Gustine,Merced,1,95322,28,23,21.7,up,43.8,up
Hat Creek,Shasta,1,96040,28,26,7.7,up,-3.7,down
Maricopa,Kern,1,93252,28,27,3.7,up,17.4,up
Orosi,Tulare,1,93647,28,30,-6.7,down,20.0,up
Seiad Valley,Siskiyou,1,96086,28,30,-6.7,down,15.4,up
Wallace,Calaveras,1,95254,28,23,21.7,up,0.0,flat
Capitola,Santa Cruz,1,95010,27,27,0.0,flat,125.0,up
Davenport,Santa Cruz,1,95017,27,27,0.0,flat,22.7,up
Discovery Bay,Contra Costa,1,94505,27,28,-3.6,down,33.3,up
Los Banos,Merced,1,93635,27,25,8.0,up,56.2,up
Onyx,Kern,1,93255,27,23,17.4,up,53.3,up
Dillon Beach,Marin,1,94929,26,21,23.8,up,40.0,up
Guadalupe,Santa Barbara,1,93434,26,20,30.0,up,100.0,up
Marshall,Marin,1,94940,26,24,8.3,up,33.3,up
Mc Farland,Kern,1,93250,26,24,8.3,up,9.1,up
Rodeo,Contra Costa,1,94572,26,22,18.2,up,46.7,up
Atwater,Merced,1,95301,25,26,-3.8,down,116.7,up
Macdoel,Siskiyou,1,96058,25,20,25.0,up,25.0,up
New Cuyama,Santa Barbara,1,93254,25,27,-7.4,down,68.8,up
Yountville,Napa,1,94599,25,26,-3.8,down,18.2,up
Chowchilla,Madera,1,93610,24,23,4.3,up,35.3,up
Comptche,Mendocino,1,95427,24,22,9.1,up,29.4,up
Drytown,Amador,1,95699,24,26,-7.7,down,36.8,up
Dunlap,Fresno,1,93621,24,24,0.0,flat,9.1,up
Holtville,Imperial,1,92250,24,20,20.0,up,42.9,up
Kerman,Fresno,1,93630,24,26,-7.7,down,30.0,up
La Palma,Orange,1,90623,24,25,-4.0,down,150.0,up
Livingston,Merced,1,95334,24,24,0.0,flat,140.0,up
Loma Mar,San Mateo,1,94021,24,24,0.0,flat,-11.1,down
Moss Beach,San Mateo,1,94038,24,26,-7.7,down,100.0,up
Snelling,Merced,1,95369,24,23,4.3,up,21.1,up
Strathmore,Tulare,1,93267,24,22,9.1,up,69.2,up
Witter Springs,Lake,1,95493,24,22,9.1,up,4.8,up
Korbel,Humboldt,1,95550,23,22,4.5,up,-18.5,down
Beckwourth,Plumas,1,96129,22,18,22.2,up,28.6,up
Corcoran,Kings,1,93212,22,21,4.8,up,5.0,up
Dorris,Siskiyou,1,96023,22,26,-15.4,down,62.5,up
Herlong,Lassen,1,96113,22,19,15.8,up,35.7,up
Independence,Inyo,1,93526,22,19,15.8,up,216.7,up
Loleta,Humboldt,1,95551,22,18,22.2,up,50.0,up
Olivehurst,Yuba,1,95961,22,23,-4.3,down,35.3,up
Rio Nido,Sonoma,1,95471,22,25,-12.0,down,-28.6,down
Salida,Stanislaus,1,95368,22,23,-4.3,down,155.6,up
San Geronimo,Marin,1,94963,22,22,0.0,flat,22.2,up
San Simeon,San Luis Obispo,1,93452,22,20,10.0,up,66.7,up
Westport,Mendocino,1,95488,22,21,4.8,up,-4.5,down
Big Bar,Trinity,1,96010,21,20,5.0,up,0.0,flat
El Segundo,Los Angeles,1,90245,21,23,-8.7,down,109.1,up
Oceano,San Luis Obispo,1,93445,21,22,-4.5,down,175.0,up
Sheridan,Placer,1,95681,21,18,16.7,up,12.5,up
