effective_date,geo_type,geo_id,geo_name,status,source_id
2025-03-06,zip,95383,95383,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91906,91906,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92341,92341,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93033,93033,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93405,93405,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93541,93541,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93905,93905,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94567,94567,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94971,94971,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95232,95232,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95387,95387,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91916,91916,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92352,92352,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93035,93035,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93412,93412,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93544,93544,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93906,93906,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94573,94573,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94973,94973,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95233,95233,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95389,95389,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91917,91917,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92356,92356,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93036,93036,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93420,93420,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93546,93546,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93907,93907,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94574,94574,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95003,95003,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95245,95245,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95410,95410,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91931,91931,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92358,92358,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93040,93040,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93421,93421,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93549,93549,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93908,93908,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94576,94576,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95004,95004,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95246,95246,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95412,95412,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91934,91934,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92371,92371,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93041,93041,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93422,93422,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93553,93553,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93920,93920,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94581,94581,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95005,95005,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95247,95247,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95415,95415,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91935,91935,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92372,92372,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93060,93060,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93423,93423,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93558,93558,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93921,93921,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94599,94599,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95006,95006,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95248,95248,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95417,95417,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91948,91948,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92378,92378,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93061,93061,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93424,93424,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93561,93561,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93922,93922,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94901,94901,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95007,95007,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95249,95249,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95418,95418,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91962,91962,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92382,92382,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93062,93062,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93426,93426,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93563,93563,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93923,93923,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94903,94903,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95010,95010,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95251,95251,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95420,95420,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91963,91963,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92385,92385,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93063,93063,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93428,93428,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93601,93601,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93924,93924,distressed,cdi_distressed_geographies_2025
