zip,county,fair_plan_flag,cdi_flag,agree,fhsz_high_pct,total_policies_2023,fair_policies_current,penetration_pct,meets_criteria
92129,San Diego,0,0,1,95.5,13328,1577,11.8,0
92130,San Diego,0,0,1,99.9,13511,1465,10.8,0
92131,San Diego,0,0,1,41.5,9095,1622,17.8,1
92139,San Diego,0,0,1,3.7,6478,82,1.3,0
92140,San Diego,0,0,1,0.0,,1,,
92145,San Diego,0,0,1,98.8,,2,,
92154,San Diego,0,0,1,61.9,13190,544,4.1,0
92173,San Diego,0,0,1,49.4,2454,73,3.0,0
92201,Riverside,0,0,1,0.0,15350,171,1.1,0
92203,Riverside,0,0,1,0.0,12451,106,0.9,0
92210,Riverside,0,0,1,0.0,2730,96,3.5,0
92211,Riverside,0,0,1,0.0,11413,80,0.7,0
92220,Riverside,0,0,1,20.3,10156,1661,16.4,1
92223,Riverside,0,0,1,47.2,19173,3139,16.4,1
92225,Riverside,0,0,1,0.0,4507,240,5.3,0
92227,Imperial,0,0,1,0.0,5306,102,1.9,0
92230,Riverside,1,1,1,26.4,539,182,33.8,1
92231,Imperial,0,0,1,0.0,6502,202,3.1,0
92233,Imperial,0,0,1,0.0,628,12,1.9,0
92234,Riverside,0,0,1,0.5,14328,301,2.1,0
92236,Riverside,0,0,1,0.0,7201,73,1.0,0
92239,Riverside,1,1,1,0.0,158,17,10.8,0
92240,Riverside,0,0,1,1.8,10613,434,4.1,0
92241,Riverside,0,0,1,0.0,3710,223,6.0,0
92242,San Bernardino,0,0,1,0.0,1149,82,7.1,0
92243,Imperial,0,0,1,0.0,8771,215,2.5,0
92249,Imperial,0,0,1,0.0,1295,16,1.2,0
92250,Imperial,0,0,1,0.0,1518,29,1.9,0
92251,Imperial,0,0,1,0.0,6052,51,0.8,0
92252,San Bernardino,0,0,1,1.6,4040,454,11.2,0
92253,Riverside,0,0,1,0.0,16950,242,1.4,0
92254,Riverside,0,0,1,0.0,1384,53,3.8,0
92256,San Bernardino,1,1,1,9.9,1468,266,18.1,1
92257,Imperial,0,0,1,0.0,544,25,4.6,0
92258,Riverside,0,0,1,0.0,124,15,12.1,0
92259,Imperial,0,0,1,0.1,146,6,4.1,0
92260,Riverside,0,0,1,3.3,10290,288,2.8,0
92262,Riverside,0,0,1,7.7,8993,325,3.6,0
92264,Riverside,0,0,1,10.0,6431,515,8.0,0
92266,Imperial,1,1,1,0.0,162,5,3.1,0
92267,San Bernardino,0,0,1,0.0,459,70,15.3,0
92268,San Bernardino,0,0,1,32.1,337,93,27.6,1
92270,Riverside,0,0,1,0.0,8014,202,2.5,0
92273,Imperial,0,0,1,0.0,245,12,4.9,0
92274,Riverside,0,0,1,1.5,2495,106,4.2,0
92275,Imperial,0,0,1,0.0,175,1,0.6,0
92276,Riverside,0,0,1,0.0,3056,141,4.6,0
92277,San Bernardino,0,0,1,0.0,6163,345,5.6,0
92280,San Bernardino,0,0,1,0.0,25,20,80.0,0
92281,Imperial,0,0,1,0.0,395,4,1.0,0
92282,Riverside,1,1,1,8.5,417,125,30.0,1
92283,Imperial,0,0,1,0.0,183,8,4.4,0
92284,San Bernardino,0,0,1,11.0,9808,850,8.7,0
92285,San Bernardino,1,1,1,0.0,1081,199,18.4,0
92301,San Bernardino,0,0,1,0.0,8172,790,9.7,0
92305,San Bernardino,1,1,1,8.6,419,292,69.7,1
92307,San Bernardino,0,0,1,0.0,11808,655,5.5,0
92308,San Bernardino,0,0,1,41.7,13556,721,5.3,0
92309,San Bernardino,0,0,1,0.0,27,5,18.5,0
92310,San Bernardino,0,0,1,0.0,1,1,100.0,0
92311,San Bernardino,0,0,1,0.0,7892,262,3.3,0
92313,San Bernardino,0,0,1,33.0,3070,325,10.6,0
92314,San Bernardino,1,1,1,39.4,7903,5547,70.2,1
92315,San Bernardino,1,1,1,45.4,7852,5761,73.4,1
92316,San Bernardino,0,0,1,1.3,5634,415,7.4,0
92317,San Bernardino,1,1,1,,201,138,68.7,0
92318,San Bernardino,0,0,1,,37,6,16.2,0
